2P%,2PA,3P%,3PA,AGE,APG,AST%,BPG,DRTG,EFG%,FG%,FT%,FTA,GM,GP,GS,MIN%,MPG,ORTG,PLAYER,POS,PPG,PTS,RBD,RPG,SPG,TEAM,TOR,TRB%,TS%,USG%,VI,YEAR
0.571,7.0,0.5,6.0,23,0.5,6.3,0.5,,,,0.5,2.0,,4,,27.7,13.3,,Kelly Olynyk,C,4.5,,,1.3,0.5,Bos,0.224,5.1,0.648,15.0,4.3,2015
0.558,43.0,0.214,28.0,25,0.8,6.5,0.56,,,,0.677,31.0,,16,,39.5,18.9,,Kent Bazemore,SG,5.4,,,3.3,0.69,Atl,0.115,9.4,0.514,14.4,5.1,2015
0.4,20.0,0.429,21.0,26,2.5,16.9,0.5,,,,0.737,19.0,,4,,55.6,26.7,,Kevin Love,PF,14.3,,,7.0,0.25,Cle,0.108,14.4,0.577,23.5,9.4,2015
0.484,31.0,0.0,0.0,25,0.3,5.0,0.17,,,,0.5,6.0,,6,,25.0,12.0,,Kevin Seraphin,C,5.5,,,3.2,0.33,Was,0.106,14.3,0.49,23.2,5.8,2015
0.414,58.0,0.324,34.0,23,2.0,9.6,0.5,,,,0.933,15.0,,6,,80.5,38.7,,Khris Middleton,PF,15.8,,,3.7,2.33,Mil,0.092,5.0,0.482,21.0,5.1,2015
0.333,9.0,0.6,10.0,34,1.1,13.5,0.1,,,,0.667,3.0,,10,,26.2,12.6,,Kirk Hinrich,SG,2.6,,,0.5,0.3,Chi,0.047,2.2,0.64,7.7,3.6,2015
0.489,188.0,0.39,146.0,24,2.6,12.1,0.9,,,,0.8,45.0,,21,,75.5,36.2,,Klay Thompson,SG,18.6,,,3.9,0.76,Gol,0.104,5.8,0.553,23.3,6.3,2015
0.548,31.0,0.0,0.0,25,0.4,5.1,0.55,,,,0.6,5.0,,11,,24.1,11.6,,Kosta Koufos,C,3.4,,,3.5,0.36,Mem,0.029,16.9,0.557,12.3,5.8,2015
1.0,1.0,0.0,0.0,29,0.0,0.0,0.0,,,,0.0,0.0,,1,,10.9,5.2,,Kris Humphries,PF,2.0,,,3.0,0.0,Was,0.0,31.1,1.0,8.5,0.0,2015
0.565,23.0,0.355,110.0,33,2.4,9.5,1.07,,,,0.813,16.0,,14,,78.2,37.5,,Kyle Korver,SG,11.1,,,5.0,1.43,Atl,0.13,7.1,0.557,14.0,5.4,2015
0.382,34.0,0.217,23.0,28,4.8,23.7,0.0,,,,0.727,11.0,,4,,68.4,32.8,,Kyle Lowry,PG,12.3,,,5.5,1.25,Tor,0.163,9.5,0.396,25.3,8.4,2015
0.432,125.0,0.45,60.0,22,3.8,20.0,0.85,,,,0.841,69.0,,13,,74.4,35.7,,Kyrie Irving,PG,19.0,,,3.6,1.31,Cle,0.085,5.6,0.573,23.0,7.2,2015
